Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Overview
Number of Accounts Targeted , 3144
Number of New Accounts , 37
Number of Removed Accounts , 714

"Accounts Targeted","New Accounts","Removed Accounts"
"aseeltd.com","","globalmaritime.com"
"ashfords.co.uk","","globant.com"
"ashtonfire.com","","glpg.com"
"askeurope.com","","gofore.com"
"asmtech.com","","gov.uk"
"aspia.se","","graham.co.uk"
"aspirets.com","","grantthornton.com"
"asplanviak.no","","grantthornton.fi"
"assael.co.uk","","grantthornton.ie"
"assentbc.co.uk","","greatit.se"
"associated-architects.co.uk","","greenstep.fi"
"assurityconsulting.co.uk","","gritera.co.id"
"astuntechnology.com","","grouptechedge.com"
"astx.com","","gtk.fi"
"atea.com","","gtwgroup.fi"
"atelierten.com","","gubra.dk"
"atkearney.co.uk","","habberstad.no"
"atlas-om.com","","halvarsson.se"
"atlasindustries.com","","hatch.com"
"atmosconsulting.com","","hcl.com"
"atos.net","","hdl.fi"
"attain.co.uk","","hededanmark.dk"
"au2mate.com","","hesehus.com"
"aukettswanke.com","","hofstede-insights.com"
"austinsmithlord.com","","hoistgroup.com"
"autodata.co.uk","","holteconsulting.no"
"autolus.com","","houston-inc.com"
"auxanoglobalservices.com","","hrprosjekt.no"
"avacta.com","","hu.nl"
"avantiarchitects.co.uk","","humanrights.dk"
"avaskgroup.com","","i3tex.com"
"avensia.com","","iar.com"
"avl.com","","ices.dk"
"avoconsulting.co","","iconplc.com"
"avondale.co.uk","","ife.no"
"awg.com","","iff.dk"
"awh.co.uk","","iffs.se"
"awnconsulting.com","","imec-int.com"
"awpexeter.com","","immeo.dk"
"aww-uk.com","","imotions.com"
"ax.fi","","increo.no"
"axialsystems.co.uk","","inera.se"
"axians.com","","infare.com"
"axima-uk.com","","infosys.com"
"axiom-psl.co.uk","","infotiv.se"
"axiomarchitects.co.uk","","inhousetech.se"
"axismason.com","","innofactor.com"
"ayerstenv.com","","innolink.fi"
"ayming.co.uk","","innovayt.eu"
"azets.com","","inspari.dk"
"azets.no","","institutsuedois.fr"
"azteq.com","","intive.com"
"azzure-it.com","","inuit.dk"
"b3.co.uk","","inventura.no"
"babcock.com","","invixo.com"
"bacsol.co.uk","","iobiotech.com"
"bactolife.com","","iodigital.com"
"baesystems.com","","ip-solutions.se"
"baileypartnership.co.uk","","ipsos.com"
"bailygarner.co.uk","","isdp.eu"
"bakermallett.com","","isobar.com"
"bakertilly.com","","isor.is"
"bakertilly.se","","istekki.fi"
"baks.se","","it-huset.se"
"balderton.com","","iterate.no"
"balmondstudio.com","","ivl.se"
"bamberandreddan.co.uk","","iwa.fi"
"banda.ie","","jcp.no"
"bangbeen.dk","","jellyfish.co.uk"
"bankdata.dk","","jndata.dk"
"banyards.co.uk","","johnsiskandson.com"
"baqus.co.uk","","jsheld.com"
"bardennetwork.com","","kaastrup-andersen.com"
"baringa.com","","kantega.no"
"barnesroffe.com","","karavanlandskap.se"
"barra.com","","karnovgroup.com"
"barrgazetas.com","","keybroker.se"
"barrietankel.co.uk","","keyrus.com"
"barringtonjames.com","","kgm.se"
"barronmccann.com","","kinandcarta.com"
"bas-energy.co.uk","","kits.se"
"basico.dk","","kiwa.com"
"basisresearch.co.uk","","klaraconsulting.se"
"basware.com","","klifo.com"
"bau.se","","knowit.se"
"baxter.com","","kombit.dk"
"bbacerts.co.uk","","kompetencekanalen.dk"
"bbi-uk.com","","kovsted.dk"
"bbseven.com","","kpaunicon.com"
"bcs.uk.com","","kpmg.com"
"bcsconsulting.com","","kpmg.dk"
"bcsdesign.co.uk","","kpmg.fi"
"bcw.group","","kraftvaerk.com"
"bdo.com.au","","kroyerpedersen.dk"
"bdo.dk","","kruso.dk"
"bdo.fi","","ktc.se"
"bdp-pattern.com","","kuatro-group.com"
"bds-solutions.co.uk","","kuleuven.be"
"bdsglobal.co.uk","","kupa.no"
"bdtviken.no","","kvadrat.se"
"bearingpoint.com","","kyndryl.com"
"beavismorgan.com","","landbonord.dk"
"bec.dk","","landbosyd.dk"
"beck-pollitzer.com","","levi9.com"
"beckettrankine.com","","linkmedical.eu"
