Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Company,Category,Topic,ML Insights Score
Cardiff University / Prifysgol Caerdydd(cardiff.ac.uk),"budgeting, planning & strategy",resource allocation,73
Cardiff University / Prifysgol Caerdydd(cardiff.ac.uk),contracts,engineering procurement and construction (epc),76
Cardiff University / Prifysgol Caerdydd(cardiff.ac.uk),it management,saas operations management,87
Cardiff University / Prifysgol Caerdydd(cardiff.ac.uk),it management,on-premise applications,99
Cbre Global Workplace Solutions (Gws)(cbre.co.uk),business solutions,project management software,91
Cbre Global Workplace Solutions (Gws)(cbre.co.uk),cloud,cloud erp,90
Cbre Global Workplace Solutions (Gws)(cbre.co.uk),it management,saas operations management,91
Cbre Global Workplace Solutions (Gws)(cbre.co.uk),business finance,financial management services,62
Cbre Global Workplace Solutions (Gws)(cbre.co.uk),software engineering,performance engineering,73
Cbre Global Workplace Solutions (Gws)(cbre.co.uk),business finance,project finance,71
Cellmark(cellmark.com),cloud,enterprise cloud,84
Cellmark(cellmark.com),it management,saas operations management,84
Centamin Plc(centamin.com),cloud,enterprise cloud,65
Centric(centric.eu),cloud,enterprise cloud,89
Cfe(cfe.be),it management,saas operations management,91
Cgg(cgg.com),operations,erp transformation,76
Chalmers University Of Technology(chalmers.se),cloud,enterprise cloud,68
Chambers And Partners(chambers.com),cloud,enterprise cloud,68
Chatham House(chathamhouse.org),it management,saas operations management,91
Chemonics International(chemonics.com),it management,saas operations management,89
Chemonics International(chemonics.com),business finance,project finance,65
Chemonics International(chemonics.com),software engineering,performance engineering,85
Civil Aviation Authority(caa.co.uk),cloud,enterprise cloud,68
Clarivate(clarivate.com),analytics & reporting,business intelligence,71
Clarivate(clarivate.com),it management,saas operations management,99
Climate Change Committee(theccc.org.uk),cloud,enterprise cloud,84
Cognizant(cognizant.com),contracts,engineering procurement and construction (epc),73
Cognizant(cognizant.com),it management,saas operations management,87
Cognizant(cognizant.com),performance,performance measurement,68
Cognizant(cognizant.com),cloud,enterprise cloud,71
